a	啊	832000
a	阿	89100
a	呵	535
a	錒	479
a	嗄	302
a	醃	117
a	吖	34
aaa	啊啊啊	3090
aba	阿巴	2140
aba	阿爸	1240
aba	阿壩	416
abalaqiya	阿巴拉契亞	1
abao	阿寶	3020
abasi	阿巴斯	1170
abasi	阿拔斯	85
abaxian	阿壩縣	41
abeier	阿貝爾	1510
abi	阿比	2400
abian	阿扁	810
abing	阿炳	133
abirang	阿比讓	239
abo	阿波	2930
abo	阿伯	1100
aboding	阿伯丁	106
abodu	阿卜杜	45
abodula	阿卜杜拉	1780
abodulei	阿卜杜勒	1950
aboluo	阿波羅	5500
abu	阿部	5510
abu	阿布	5250
abudu	阿布杜	392
abuhazi	阿布哈茲	37
abuzhabi	阿布扎比	1000
acheng	阿城	5220
ada	阿達	7020
adaier	阿黛爾	19
adaofu	阿道夫	1290
ade	阿德	2290
adeer	阿德爾	507
adelaide	阿德萊德	109
adelian	阿德里安	22
adi	阿迪	1240
adi	阿蒂	1150
adidasi	阿迪達斯	22
adong	阿東	5560
adou	阿斗	1890
adu	阿杜	1320
aduo	阿多	8450
aer	阿爾	9120
aerbaniya	阿爾巴尼亞	10200
aerbaniyaren	阿爾巴尼亞人	1020
aerbaniyayu	阿爾巴尼亞語	926
aerbei	阿爾貝	603
aerbeisi	阿爾卑斯	1120
aerbeisishan	阿爾卑斯山	1950
aerbeisishanmai	阿爾卑斯山脈	171
aerbo	阿爾伯	584
aerbote	阿爾伯特	2140
aerda	阿爾達	888
aerde	阿爾德	845
aerfa	阿爾法	2290
aerfulei	阿爾弗雷	1000
aerjier	阿爾及爾	82
aerjiliya	阿爾及利亞	6610
aerka	阿爾卡	836
aerkate	阿爾卡特	549
aerke	阿爾克	827
aerma	阿爾馬	883
aerma	阿爾瑪	549
aermei	阿爾梅	612
aersasi	阿爾薩斯	130
aersitong	阿爾斯通	108
aerta	阿爾塔	766
aertai	阿爾泰	579
aertaishan	阿爾泰山	363
aertuo	阿爾託	777
aerwa	阿爾瓦	665
aerwen	阿爾文	834
afan	阿凡	1860
afangsuo	阿方索	132
afei	阿飛	1020
afu	阿福	2220
afuhan	阿富汗	22400
afuhanren	阿富汗人	2230
agan	阿甘	881
age	阿格	4460
age	阿哥	1740
agela	阿格拉	937
agen	阿根	3070
agenting	阿根廷	25100
agentingdui	阿根廷隊	2180
agong	阿公	3000000000
agu	阿古	3210
agui	阿貴	2930
aha	啊哈	2290
ahai	阿海	4000
ahe	阿赫	863
ahong	阿訇	2
ahua	阿華	3210
ai	愛	724000
ai	艾	27500
ai	埃	25700
ai	哎	22900
ai	唉	22400
ai	矮	11000
ai	挨	9120
ai	礙	5620
ai	癌	5370
ai	哀	2290
ai	奇	1900
ai	呆	1695
ai	乃	1580
ai	欸	1350
ai	藹	1120
ai	噯	708
ai	隘	603
ai	呃	488
ai	璦	437
ai	砈	398
ai	曖	275
ai	噫	28
aiai	愛愛	36200
aibi	艾比	3630
aibian	癌變	523
aibote	艾伯特	2950
aibuai	愛不愛	3410
aibushishou	愛不釋手	10
aicao	愛操	7310
aicao	艾草	1830
aiche	愛車	14800
aicheng	愛城	10700
aichou	哀愁	159
aida	捱打	3020
aida	艾達	2540
aidahezhou	愛達荷州	9
aidai	愛戴	4170
aidao	愛到	58400
aidao	哀悼	5130
aide	愛的	71600
aide	愛得	43600
aide	愛德	9910
aide	埃德	1700
aide	艾德	1350
aidehua	愛德華	8510
aidehuaduo	愛德華多	847
aidehuazi	愛德華茲	567
aidejia	埃德加	1320
aidemeng	埃德蒙	1150
aidemeng	艾德蒙	125
aideng	艾登	1390
aidi	艾迪	2450
aidi	埃迪	925
aidingbao	愛丁堡	1860
aidingbaodaxue	愛丁堡大學	185
aidisheng	愛迪生	1410
aie	捱餓	2290
aier	愛爾	8100
aier	艾爾	4900
aier	艾兒	1940
aier	埃爾	1320
aierdun	艾爾頓	427
aierdun	埃爾頓	185
aierlan	愛爾蘭	20400
aierlanren	愛爾蘭人	1020
aiersha	艾爾莎	339
aiersi	艾爾斯	466
aiersi	埃爾斯	130
aierweisi	埃爾維斯	87
aierwen	艾爾文	466
aierwen	埃爾文	130
aifei	愛妃	986
aifeiertieta	埃菲爾鐵塔	13
aifu	愛撫	1700
aifudun	埃弗頓	74
aifusen	艾弗森	64
aige	艾格	2100
aige	挨個	908
aigezi	矮個子	307
aiguanxianshi	愛管閒事	13
aiguo	愛國	52500
aiguo	愛過	2690
aiguo	捱過	905
aiguorenshi	愛國人士	3970
aiguoxin	愛國心	4270
aiguozhe	愛國者	6920
aiguozhuyi	愛國主義	6920
aiha	艾哈	1790
aihamaide	艾哈邁德	2630
aihao	愛好	18200
aihao	哀嚎	1070
aihao	哀號	228
aihaozhe	愛好者	15800
aihe	愛喝	8790
aihe	愛河	2240
aihehua	愛荷華	92
aihehuazhou	愛荷華州	8
aihen	愛恨	3530
aihenjiaozhi	愛恨交織	42
aihu	愛護	7590
aihua	愛華	4690
aihua	矮化	979
aihui	愛會	58400
aiji	埃及	40700
aijia	愛家	27200
aijiaaihu	挨家挨戶	4
aijiang	愛將	52800
aijiu	艾灸	90
aikan	愛看	3470
aike	艾可	2680
aike	艾克	2100
aike	埃克	2000
aikesen	埃克森	95
aikesi	艾克斯	1480
aikou	隘口	59
aiku	愛哭	6320
aila	艾拉	1480
aila	埃拉	1230
ailai	愛來	57600
ailan	埃蘭	1330
aile	愛樂	2510
aile	哀樂	221
aileila	埃雷拉	118
aileyuetuan	愛樂樂團	230
aili	愛裡	45600
aili	艾裡	2690
aili	埃裡	2520
aili	艾力	2020
aili	艾利	1780
aili	埃利	1700
aili	艾莉	1580
aili	艾麗	1010
aili	愛莉	571
ailian	艾連	2500
ailian	愛戀	1910
ailiaote	埃利奧特	15
ailika	艾莉卡	156
ailike	埃裡克	2630
ailikesen	埃裡克森	230
ailin	艾琳	1950
ailinuo	埃莉諾	40
ailisen	艾莉森	146
ailisen	艾利森	89
ailisi	愛麗絲	5250
ailisi	艾莉絲	1120
ailisi	艾利斯	150
ailisi	埃利斯	145
ailiwen	埃裡溫	98
ailixin	愛立信	350
ailu	艾露	1200
ailun	艾倫	11000
ailun	愛倫	1070
ailun	埃倫	858
ailv	愛侶	162
ailvete	艾略特	1410
aima	艾瑪	3890
aima	愛瑪	1350
aima	捱罵	794
aimanniu	艾曼紐	50
aimashi	愛馬仕	20
aimei	曖昧	4370
aimei	愛美	3240
aimei	艾美	2500
aimeiguanxi	曖昧關係	433
aimeijiang	艾美獎	1380
aimi	艾米	1580
aimi	埃米	1290
aimier	埃米爾	1200
aimili	艾米莉	1580
aimili	艾米麗	144
aimili	愛蜜莉	21
aimili	艾蜜莉	19
aimin	愛民	1700
aimonengzhu	愛莫能助	13
aimosheng	愛默生	56
aimu	愛慕	3720
aina	艾娜	1100
ainu	愛奴	1230
ainv	愛女	1380
aipang	矮胖	654
aipositan	愛潑斯坦	32
aipusheng	愛普生	188
aiqi	愛妻	1580
aiqin	愛琴	1160
aiqing	愛情	77600
aiqing	艾青	1420
aiqinggushi	愛情故事	3630
aiqingpian	愛情片	1260
aiqinhai	愛琴海	1290
aiqiu	哀求	2510
aiqixun	艾奇遜	46
aiqiyi	愛奇藝	3800
aiquan	愛犬	1210
airen	愛人	15500
airen	矮人	1660
airui	艾瑞	639
airuike	艾瑞克	1700
aisai	埃塞	1450
aisaiebiya	衣索比亞	6170
aisaikesi	埃塞克斯	65
aisake	艾薩克	1070
aisen	艾森	1100
aisen	埃森	1070
aisenhaoweier	艾森豪威爾	1950
aisha	艾莎	784
aishang	愛上	18600
aishang	哀傷	3470
aishangni	愛上你	2820
aishaniya	愛沙尼亞	6170
aishen	愛神	1740
aishi	愛是	69100
aishi	礙事	1700
aishouaijiao	礙手礙腳	2
aisi	愛死	25300
aisi	愛斯	8610
aisi	艾斯	2150
aisi	埃斯	2040
aisi	艾絲	1410
aisi	哀思	198
aisijimo	愛斯基摩	12
aisipi	埃斯皮	122
aisite	埃斯特	819
aita	埃塔	1670
aitan	哀嘆	162
aite	艾特	2190
aite	埃特	2070
aitong	哀痛	214
aiwa	艾娃	734
aiwan	愛玩	1290
aiwei	艾未	3800
aiwei	艾薇	1040
aiweier	艾薇兒	89
aiwen	艾文	2150
aiwen	埃文	2040
aiwensi	埃文斯	168
aiwo	愛我	67000
aiwoma	愛我嗎	1860
aixi	愛惜	1950
aixiao	愛笑	13000
aixiao	矮小	1550
aixiaoming	艾曉明	39
aixibao	癌細胞	2950
aixin	愛心	18600
aixinjueluo	愛新覺羅	1120
aiya	哎呀	5750
aiyan	礙眼	471
aiye	愛液	786
aiyi	愛意	2290
aiyinhuowen	埃因霍溫	5
aiyinsitan	愛因斯坦	5890
aiyo	哎喲	4680
aiyou	愛有	65400
aiyu	礙於	561
aiyuan	哀怨	148
aizhe	愛著	2140
aizhe	挨著	1550
aizheng	癌症	24500
aizhi	愛知	1020
aizhixian	愛知縣	387
aizhu	愛著	8790
aizi	愛子	2400
aizi	矮子	2190
aizi	愛滋	1290
aizi	艾滋	171
aizibing	艾滋病	13800
aizibing	愛滋病	1740
aizibingdu	艾滋病毒	920
aizou	捱揍	399
aji	阿基	3450
ajia	阿加	5800
ajiakesi	阿賈克斯	72
ajiao	阿嬌	286
ajiasha	阿加莎	92
ajie	阿杰	1200
ajili	阿基裡	335
ajimide	阿基米德	13
ajin	阿金	5700
ajinuo	阿基諾	165
aka	阿卡	2090
akade	阿卡德	205
akapuerke	阿卡普爾科	12
ake	阿克	2690
akeba	阿克巴	255
akela	阿克拉	1040
aken	阿肯	1720
akensezhou	阿肯色州	11
akesu	阿克蘇	1410
ala	阿拉	12300
alabama	阿拉巴馬	221
alabamazhou	阿拉巴馬州	21
alabi	阿拉比	1210
alabo	阿拉伯	32400
alabobandao	阿拉伯半島	1350
alabohai	阿拉伯海	2240
alabolianheqiuzhangguo	阿拉伯聯合大公國	5
alaboren	阿拉伯人	6310
alaboshuzi	阿拉伯數字	2570
alabowen	阿拉伯文	1320
alaboyu	阿拉伯語	5010
alading	阿拉丁	918
alafate	阿拉法特	105
